CODIGO,CATEGORIA,DETALLE,P_UNIT,P_CUARTO,P_DOCENA,STOCK,C_PROMO,P_PROMO,COSTO_REAL,MARGEN_UNI
PA256022,dama,pantaloneta alicrado d.,25.00,70.00,275.00,19,no.png,0.00,0.00,0.00
SA2308433,colchon,sabana ajustable 2plz.,30.00,84.00,330.00,77,no.png,0.00,0.00,0.00
7591005003446,baygon 237g,cucarachas y hormigas,14.00,42.00,0,10,no.png,,0.00,0.00
7501032926052,baygon,mosquitos y moscas,15.00,45.00,000,4,no.png,0.00,0.00,0.00
7501032907280,glade,alegria floral,13.00,39.00,000,1,no.png,0.00,0.00,0.00
7501032900243,glade, manzana canela,13.00,39.00,000,0,no.png,0.00,0.00,0.00
7501032913687,glade,abrazos de vainilla,13.00,39.00,000,0,no.png,0.00,0.00,0.00
7501032938215,Glade,campos lavanda,13.00,39.00,000,0,no.png,0.00,0.00,0.00
7501086454181,cepillos pro,pro par ,14.00,42.00,000,26,no.png,0.00,0.00,0.00
3014260833176,cepillos ,oral b,5.00,15.00,000,2,no.png,0.00,0.00,0.00
7702018072439,afeitador dama,venus suave,8.00,24.00,96.00,8,no.png,0.00,0.00,0.00
7500435253413,mentol vick,vapoRub,7.00,21.00,000,9,no.png,0.00,0.00,0.00
7501032901851,repelente,off family,25.00,75.00,000,10,no.png,0.00,0.00,0.00
7759185004398,papel,elitte X6 duo,9.00,27.00,55,82,no.png,0.00,0.00,0.00
7751493004367,papel suave,suave verde X6,9.00,27.00,108.00,29,no.png,0.00,0.00,0.00
7759185010979,papel toalla,nova ultra celeste,4.00,12.00,35.00,95,no.png,0.00,0.00,0.00
7750049013037,papel toalla,super,4.00,12.00,35.00,10,no.png,0.00,0.00,0.00
7759998111245,Virutex,ESCOBA LA GRANDAZA,20.00,0,0,16,no.png,0.00,0.00,0.00
7750498900032,banco,mini diverti,15.00,0,0,10,no.png,0.00,0.00,0.00
3595370,toallas,toalla grande,35,95,370,87,no.png,0.00,0.00,0.00
1225018,bateas,moises#25,18.00,54.00,210.00,10,no.png,0.00,0.00,0.00
SEC1027100,SECADOR ,SECADOR CUADROS,10.00,27.00,100.00,22,no.png,0.00,0.00,0.00
SA257022,FORRO DE COLCHON,SÁBANA AJUSTABLE  1 1/2,25.00,70.00,270.00,67,no.png,0.00,0.00,0.00
7750243082150,detergente t,trome rosa,2.00,6.00,24.00,58,no.png,0.00,0.00,0.00
6925284401043,REVS,Encendedor Lighters,4.00,00,00,22,no.png,0.00,0.00,0.00
CAT60168,MOCHILAS,MOCHILA ECON.,60.00,175.00,685.00,3,no.png,0.00,30.00,30.00
CART411,WJN Poker,Cartas de juego,4.00,0,0,37,no.png,0.00,0.00,0.00
7753166692987,Kelita,Colgador Ovalado,18.00,00,00,8.00,no.png,0.00,0.00,0.00
7755944002698,Opalux,Lampara de emergencia,110.0,00,00,2,no.png,0.00,0.00,0.00
COL4055,Colores,Colcha Peluche,40.00,0,0,4,no.png,0.00,0.00,0.00
078727999396,Versachem,Mega Grey,15.00,00,00,5,no.png,0.00,0.00,0.00
LS55288,OPALUX,Lampara Solar,55.00,00,00,0,no.png,0.00,0.00,0.00
COLCE40,Colcha,Colcha Color Entero,40.00,00,00,28,no.png,0.00,0.00,0.00
ALM3870,Panda,Almohada,38.00,0,0,49,2,70.00,0.00,0.00
RRICO38745,plastiqueria,rasca rico manitos,3.00,00.00,00.00,62,no.png,0.00,0.00,0.00
3026654,plastiqueria,Rallador con recipiente,18.00,00.00,00.00,0,no.png,0.00,0.00,0.00
7750062253564,plastiqueris,embudo mediano,3.00,00.00,00.00,11,no.png,0.00,0.00,0.00
05100548,manteles,paños mic.,10.00,00.00,00.00,32,no.png,0.00,0.00,0.00
PSADOR3,pasador,pasadores d zapatilla,3.00,00.00,00.00,139,no.png,0.00,0.00,0.00
MKT1540,mochilas,bolsa trabajo,15.00,40.00,00.00,0,no.png,0.00,6.00,9.00
MBB407,mosquitero,mosquitero bebesitos,40.00,00.00,00.00,4,no.png,0.00,0.00,0.00
0013187,desodorante,desodonte OHM SOUL VARON,15.00,00.00,00.00,0,no.png,0.00,0.00,0.00
7758127000467,plastiqueria,papelero madrid,28.00,00.00,00.00,1,no.png,0.00,0.00,0.00
V55155605,VICERAS,VICERAS DAMA,55.00,155.00,605.00,11,no.png,0.00,0.00,0.00
6976649671205,medias,amanecer talon.,10.00,25.00,100.00,9,no.png,0.00,0.00,0.00
6976649672004,media,aman.tob. oso,10.00,25.00,100.00,11,no.png,0.00,0.00,0.00
CXDW2,MEDIAS TAL.,TAL. DAMA,10.00,25.00,100.00,2,no.png,0.00,3.00,7.00
CXDW9,MEDIAS,TAL.DAMA EC.,10.00,25.00,100.00,0,no.png,0.00,4.00,6.00
AWDM2,MEDIAS TAL.,MED. TAL. HOMBRE,10.00,25.00,100.00,5,no.png,0.00,3.00,7.00
M961,MEDIA   TALONERA,TAL.  AMAN. DAMA,10.00,25.00,100.00,6,no.png,0.00,3.00,7.00
D367A,TAL MEDIA,TAL. MEDIA AMAN.,10.00,25.00,100.00,11,no.png,0.00,0.00,0.00
6943441802700,MEDI.,MEDI TOB.  HOMBRE,10.00,25.00,100.00,0,no.png,0.00,0.00,0.00
6976649674138,MEDIA HOMBRE,TAL. HOMBRE,5.00,12.00,48.00,1,no.png,0.00,0.00,0.00
82388,MEDIAS N,M2-5 TOB. NIÑO,8.00,23.00,87.00,18,no.png,0.00,0.00,0.00
6976649670154,MEDIAS,M. ALTAS NIÑO,5.00,12.00,48.00,41,no.png,0.00,0.00,0.00
M1'210,NIÑOS MEDIA,M1-2 SET POR 3,10.00,25.00,100.00,7,no.png,0.00,0.00,0.00
6976649670055,MEDIA TAL AM.,TAL. OSO DAMA SURT.,5.00,12.00,48.00,6,no.png,0.00,0.00,0.00
6976649674688,MEDIA DAMA,DAMA AMAN. MED.,5.00,12.00,48.00,8,no.png,0.00,0.00,0.00
6976649674770,MEDIAS AMAN. DAMA,TAL. PANDA AMAN.,5.00,12.00,48.00,1,no.png,0.00,0.00,0.00
6976649671342,MEDIAS NIÑA AMAN.,TAL. AMAN.  DAMA,10.00,25.00,100.00,16,no.png,0.00,0.00,0.00
M6'910,MEDIAS,ALG NIÑO 6-9,10.00,25.00,100.00,23,no.png,0.00,0.00,0.00
AM1025,MEDIA,ALG. MEDIA DAMA TAL.,10.00,25.00,100.00,40,no.png,0.00,0.00,0.00
854056,BILLETERA,BILLETERA DAMA,55.00,150.00,600,0,no.png,0.00,0.00,0.00
H55C,CONJUNTOSS NIÑAS,HUNTRIX CONJUNTOS NIÑA,55.00,155.00,600.00,3,no.png,0.00,0.00,0.00
CRAZY4F,CHIMPUN,CHIMMPUN ADIDAS,360.00,0,0,0,no.png,0.00,285.00,75.00
965483210,CHIMPUNERA K,CHIMPUNERA NEGRO MARCAS,48.00,135.00,370,7,no.png,0.00,25.00,23.00
YOU130364,MOCHILAS,MOCHILAS YOU,130.00,390.00,1480.00,13,no.png,0.00,85.00,45.00
VI715,ROPA,VIVIDI BLANCO,7.00,15.00,60.00,23,no.png,0.00,3.00,4.00
6992701109462,BELLEZA,SPOOLER PEINE PESTAÑA,6.00,17.00,70.0,12,no.png,0.00,0.00,0.00
A410,PLASTIQUERIA,ATOMIZADOR,4.00,10.00,40.00,7,no.png,0.00,0.00,0.00
6960651328721,PESTAÑAS,PESTAÑAS KARSELL,25.00,70.00,280.0,0,no.png,0.00,0.00,0.00
6927675001016,BELLEZA,PINZA DE PESTAÑAS,7.00,15.00,60.00,9,no.png,0.00,0.00,0.00
746817073010,PEGAMENTO PEST.,PEG. SALON PRO,25.00,70.00,280.00,5,no.png,0.00,0.00,0.00
6960650348300,PESTAÑAS,PUNTO POR PUNTO PESTAÑAS,18.00,52.00,200.00,6,no.png,0.00,0.00,0.00
6960650649759,BELLEZA,PUNTO POR PUNTO PESTAÑAS,18.00,54.00,210.00,7,no.png,0.00,0.00,0.00
8801038123097,BELLEZA,PERFILADOR,7.00,20.00,80.00,16,no.png,0.00,0.00,0.00
6952932131564,BELLEZA,ESTAÑAS EN TIRA,12.00,36.00,140.00,12,no.png,0.00,0.00,0.00
6936664351346,BELLEZA,PW JOOK GIRL,45.00,125.00,500.00,1,no.png,0.00,0.00,0.00
6930446849496,BELLEZA,PW WOMAN PERFUME,45.00,125.00,500.00,1,no.png,0.00,0.00,0.00
6936664351339,BELLEZA,PW JOOK GIRL,45.00,125.00,500.00,1,no.png,0.00,0.00,0.00
6936664351353,BELLEZA,PW JOOK GIRL,45.00,125.00,500.00,1,no.png,0.00,0.00,0.00
6930446849496,BELLEZA,PW    WOMAN PERFUME,45.00,125.00,500.00,1,no.png,0.00,0.00,0.00
6971181485099,PERFUMERIA,SET STUNNER POUR FEMME,65.00,180.00,700.00,0,no.png,0.00,0.00,0.00
6971181485112,PERFUMERIA,STUNNER POUR FEMME,65.00,185.00,700.00,0,no.png,0.00,0.00,0.00
6971181485105,BELLEZA,DULCE MALETIN AZUL,65.00,185.00,700.00,0,no.png,0.00,0.00,0.00
6931978171901,PERFUMERIA,PASTRY SET X3,60.00,150.00,600.00,1,no.png,0.00,0.00,0.00
6931978172083,PERFUMERIA,BERRY MACARON,60.00,150.00,600.00,1,no.png,0.00,0.00,0.00
6931978172069,PERFUMERIA,SWEET  RAINBOW,60.00,150.00,600.00,1,no.png,0.00,0.00,0.00
NB26245,CAJA REGALO,CAJA CORAZON,15.00,42.00,160.00,1,no.png,0.00,0.00,0.00
CA4090BOL,BOLSAS REGALO,BOLSAS REG. CORAZON,12.00,36.00,70.00,12,no.png,0.00,0.00,0.00
0013407,PERFUMERIA YANBAL,AROM ELEMENTN,95.00,270.00,0,1,no.png,0.00,0.00,0.00
2024924417896,COLETS,SET COLET LIGA,4.00,10.0,40.00,48,no.png,0.00,0.00,0.00
2025901502017,GANCHOS NIÑAS,BOTELLA GANCHO,3.00,8.00,32.00,10.00,no.png,0.00,0.00,0.00
2023901491533,GANCHOS NIÑAS,SET DE GANCHOS,7.00,20.00,80.00,11,no.png,0.00,0.00,0.00
2026210519246,LIGAS,TUBO LIGA NIÑA,4.00,12.00,48.00,18,no.png,0.00,0.00,0.00
LIGA3,LIGAS NIÑAS,LIGA ECON TUBO,3.00,8.00,32.00,39,no.png,0.00,0.00,0.00
2025010687162,TIRA DE BRASIER,TIRA TRASN PARENTE,3.00,8.00,32.00,16,no.png,0.00,0.00,0.00
